ntsbno,eventtype,mkey,eventdate_ntsb,city,state,country,reportno,n,hassafetyrec,reporttype,originalpublishdate,highestinjurylevel,fatalinjurycount,seriousinjurycount,minorinjurycount,probablecause,eventid,latitude,longitude,make,model,aircraftcategory,airportid_ntsb,airportname,amateurbuilt,numberofengines,scheduled,purposeofflight,far,aircraftdamage,weathercondition,operator,reportstatus,repgenflag,docketurl,docketpublishdate,station,valid,tmpf,dwpf,relh,drct,sknt,gust,vsby,alti,p01i,wxcodes,metar,airportid_metar,weatherstation,eventdate_metar,weather_source,distance_nm,time_diff
ERA24LA317,ACC,194743,2024-07-14 14:35:00+00:00,Montauk,New York,United States,,N8201R,FALSE,DirectorBrief,2024-11-08T05:00:00Z,None,0,0,0,"The pilot’s failure to maintain an appropriate glide path during the landing approach in terrain induced turbulence, resulting in a hard landing and subsequent runway excursion.",,41.076667,-71.920472,MOONEY,M20J,AIR,MTP,MONTAUK,FALSE,1,,PERS,091,Substantial,VMC,,Completed,FALSE,https://data.ntsb.gov/Docket?ProjectID=194743,11/8/2024 19:00,MTP,2024-07-14 14:54:00+00:00,84,66,54.77,320,3,,,30.05,0,M,KMTP 141454Z AUTO 32003KT 29/19 A3005 RMK AO1 SLP176 T02890189 58003,MTP,KMTP,2024-07-14 14:35:00+00:00,PRIMARY,0,0 days 00:19:00
CEN24LA315,ACC,194929,2024-07-11 10:00:00+00:00,Camdenton,Missouri,United States,,N23JK,FALSE,DirectorBrief,2025-02-26T05:00:00Z,None,0,0,0,"The inadequate maintenance of the seat locking mechanism, which resulted in the pilot’s seat sliding back during takeoff and a subsequent loss of control.",,37.972668,-92.689197,GRUMMAN AMERICAN AVN. CORP.,AA-5B,AIR,OZS,CAMDENTON MEML-LAKE RGNL,FALSE,1,,PERS,091,Substantial,VMC,,Completed,FALSE,https://data.ntsb.gov/Docket?ProjectID=194929,2/26/2025 19:00,OZS,2024-07-11 09:55:00+00:00,64.4,62.6,93.88,210,3,,10,30.03,0,M,KOZS 110955Z AUTO 21003KT 10SM CLR 18/17 A3003 RMK AO2,OZS,KOZS,2024-07-11 10:00:00+00:00,PRIMARY,0,0 days 00:05:00
CEN24LA251,ACC,194629,2024-07-04 11:30:00+00:00,Dowagiac,Michigan,United States,,N9793A,FALSE,DirectorBrief,2024-08-22T04:00:00Z,None,0,0,0,"The pilot and flight instructor’s failure to maintain directional control during the landing roll, which resulted in a ground loop with the left main landing gear axle failing, a runway excursion, and impact with the ground.",,41.993703,-86.122817,CESSNA,170,AIR,C91,DOWAGIAC MUNI,FALSE,1,,INST,091,Substantial,VMC,,Completed,FALSE,https://data.ntsb.gov/Docket?ProjectID=194629,8/22/2024 17:00,BEH,2024-07-04 10:53:00+00:00,64,62,93.21,0,0,,9,29.93,0,M,KBEH 041053Z AUTO 00000KT 9SM CLR 18/17 A2993 RMK AO2 SLP130 T01780167,C91,BEH,2024-07-04 11:30:00+00:00,FALLBACK,15.354793481671749,0 days 00:37:00
CEN24LA329,ACC,195014,2024-07-04 10:30:00+00:00,Leadville,Colorado,United States,,N1652T,FALSE,DirectorBrief,2024-11-14T05:00:00Z,None,0,0,0,"A loss of brake fluid for reasons that could not be determined, which resulted in a loss of braking effectiveness during landing.",,39.219472,-106.31641,CESSNA,414,AIR,LXV,Lake County,FALSE,2,,PERS,091,Substantial,VMC,,Completed,FALSE,https://data.ntsb.gov/Docket?ProjectID=195014,11/14/2024 18:00,BEH,2024-07-04 10:53:00+00:00,64,62,93.21,0,0,,9,29.93,0,M,KBEH 041053Z AUTO 00000KT 9SM CLR 18/17 A2993 RMK AO2 SLP130 T01780167,C91,BEH,2024-07-04 10:30:00+00:00,FALLBACK,15.354793481671749,0 days 00:23:00
CEN24LA234,ACC,194521,2024-06-13 20:15:00+00:00,Ava,Missouri,United States,,N123WJ,FALSE,DirectorBrief,2024-12-06T05:00:00Z,Minor,0,0,1,The pilot’s failure to maintain control of the airplane resulting in a runway excursion during landing.  Contributing to the accident was the degraded brake system on the airplane.,,36.971887,-92.681946,MOONEY,M20J,AIR,AOV,Ava Bill Martin Memorial,FALSE,1,,PERS,091,Substantial,VMC,,Completed,FALSE,https://data.ntsb.gov/Docket?ProjectID=194521,12/6/2024 18:00,BPK,2024-06-13 19:53:00+00:00,88,64,44.95,240,5,,10,29.97,0,M,KBPK 131953Z AUTO 24005KT 10SM CLR 31/18 A2997 RMK AO2 SLP138 T03110178,AOV,BPK,2024-06-13 20:15:00+00:00,FALLBACK,37.49360820914125,0 days 00:22:00
ERA24LA268,ACC,194506,2024-06-12 23:00:00+00:00,Painted Post,New York,United States,,N5309G,FALSE,DirectorBrief,2024-07-25T04:00:00Z,None,0,0,0,"The pilot’s failure to maintain directional control of the airplane during an aborted landing, which resulted in runway excursion and collision with a ditch.",,42.179597,-77.121074,CESSNA,305,AIR,7N1,Corning-Painted Post Airport,FALSE,1,,PERS,091,Substantial,VMC,,Completed,FALSE,https://data.ntsb.gov/Docket?ProjectID=194506,7/25/2024 17:00,ELM,2024-06-12 22:53:00+00:00,75,54,47.99,20,8,,10,29.98,0,M,KELM 122253Z 02008KT 10SM FEW070 24/12 A2998 RMK AO2 SLP147 T02390122,7N1,ELM,2024-06-12 23:00:00+00:00,FALLBACK,9.806312731793968,0 days 00:07:00
ERA24LA212,ACC,194226,2024-05-02 19:30:00+00:00,Georgetown,Ohio,United States,,N8290C,FALSE,DirectorBrief,2024-07-18T04:00:00Z,Minor,0,0,1,"An inadvertent encounter with the rotor wash of a nearby hovering helicopter during landing, which resulted in a loss of control and a runway excursion.",,38.882,-83.882667,PIPER,PA-20-135,AIR,GEO,BROWN COUNTY,FALSE,1,,PERS,091,Substantial,VMC,,Completed,FALSE,https://data.ntsb.gov/Docket?ProjectID=194226,7/18/2024 17:00,LUK,2024-05-02 19:53:00+00:00,86,62,44.65,200,12,,10,29.92,0,M,KLUK 021953Z 20012KT 10SM CLR 30/17 A2992 RMK AO2 SLP128 T03000167,GEO,LUK,2024-05-02 19:30:00+00:00,FALLBACK,28.29260805208599,0 days 00:23:00
ERA24LA145,ACC,193960,2024-03-15 16:05:00+00:00,Melbourne,Florida,United States,,N838ER,FALSE,DirectorBrief,2024-05-03T04:00:00Z,None,0,0,0,The student pilot’s failure to maintain directional control while landing in a crosswind.,,28.09788,-80.63526,TEXTRON AVIATION INC,172S,AIR,MLB,Melbourne Orlando International,FALSE,1,,INST,091,Substantial,VMC,EMBRY-RIDDLE AERONAUTICAL UNIVERSITY INC,Completed,FALSE,https://data.ntsb.gov/Docket?ProjectID=193960,5/3/2024 17:00,MLB,2024-03-15 15:53:00+00:00,79,68,69.07,110,8,,10,30.1,0,M,KMLB 151553Z 11008KT 10SM CLR 26/20 A3010 RMK AO2 SLP191 T02610200,MLB,KMLB,2024-03-15 16:05:00+00:00,PRIMARY,0,0 days 00:12:00
CEN24LA122,ACC,193837,2024-02-23 16:45:00+00:00,Tulsa,Oklahoma,United States,,N3645W,FALSE,DirectorBrief,2024-07-11T04:00:00Z,None,0,0,0,The pilot's inadvertent retraction of the flaps while landing which resulted in a hard landing and loss of directional control.,,36.038877,-95.984215,PIPER,PA32,AIR,RVS,TULSA RIVERSIDE,FALSE,1,,PERS,091,Substantial,VMC,,Completed,FALSE,https://data.ntsb.gov/Docket?ProjectID=193837,7/11/2024 17:00,RVS,2024-02-23 16:53:00+00:00,60,32,34.61,,3,,10,30.08,0,M,KRVS 231653Z VRB03KT 10SM CLR 16/00 A3008 RMK AO2 SLP194 T01560000,RVS,KRVS,2024-02-23 16:45:00+00:00,PRIMARY,0,0 days 00:08:00
DCA24LA095,INC,193772,2024-02-10 20:42:00+00:00,Dallas,Texas,United States,,N991AN,FALSE,DirectorBrief,2025-11-07T05:00:00Z,None,0,0,0,Improper maintenance due to human error during a braking system modification diminished braking performance.  Contributing to the diminished braking performance was the lack of a functional check to verify the flexible hydraulic hoses and transducer wiring were connected correctly after the braking system modification.,,32.89748,-97.040443,BOEING,737-823,AIR,DFW,Dallas Fort Worth International Airport,FALSE,2,SCHD,,121,Minor,VMC,AMERICAN AIRLINES INC,Completed,FALSE,https://data.ntsb.gov/Docket?ProjectID=193772,11/7/2025 19:00,DFW,2024-02-10 20:53:00+00:00,56,52,86.4,100,6,,10,29.81,,#NAME?,KDFW 102053Z 10006KT 10SM -RA FEW012 SCT034 BKN049 BKN130 OVC250 13/11 A2981 RMK AO2 RAB38 SLP090 P0000 60001 T01330111 56022,DFW,KDFW,2024-02-10 20:42:00+00:00,PRIMARY,0,0 days 00:11:00
WPR24LA087,ACC,193782,2024-02-10 13:45:00+00:00,Burley,Idaho,United States,,C-FLQQ,FALSE,DirectorBrief,2026-02-11T05:00:00Z,Minor,0,0,1,"The failure of the pilot to fly a stabilized approach during an emergency landing with a tailwind, which resulted in a bounced landing and subsequent runway excursion during the landing roll. Contributing to the accident was the pilot’s inadequate preflight inspection of the airplane, which resulted in its operation with an inadequate quantity of oil, insufficient engine oil pressure, and a subsequent emergency landing.",,42,-113,MOONEY,M20K,AIR,BYI,Burley Municipal AIrport,FALSE,1,,PERS,091,Substantial,VMC,,Completed,FALSE,https://data.ntsb.gov/Docket?ProjectID=193782,2/11/2026 18:00,BYI,2024-02-10 13:43:00+00:00,28,25,88.33,270,6,,10,30.09,0,M,KBYI 101343Z AUTO 27006KT 10SM FEW010 OVC014 M02/M04 A3009 RMK AO2 T10221039,BYI,KBYI,2024-02-10 13:45:00+00:00,PRIMARY,0,0 days 00:02:00
ERA24LA111,ACC,193776,2024-02-07 13:26:00+00:00,Palm Beach Gardens,Florida,United States,,N484AP,FALSE,DirectorBrief,2024-04-12T04:00:00Z,None,0,0,0,The pilot’s failure to maintain directional control of the airplane during the landing roll in a gusting crosswind.,,26.845917,-80.222333,PIPER,PA-32-301T,AIR,F45,NORTH PALM BEACH COUNTY GENERAL AVIATION,FALSE,1,,PERS,091,Substantial,VMC,,Completed,FALSE,https://data.ntsb.gov/Docket?ProjectID=193776,4/12/2024 17:00,W29,2024-02-07 13:25:00+00:00,36.5,24,60.16,40,3,,10,30.34,0,M,KW29 071325Z AUTO 04003KT 10SM CLR 03/M05 A3034 RMK AO2 T00251045,W29,KW29,2024-02-07 13:26:00+00:00,PRIMARY,0,0 days 00:01:00
ERA24LA112,ACC,193777,2024-02-07 13:00:00+00:00,Stevensville,Maryland,United States,,N39818,FALSE,DirectorBrief,2024-06-21T04:00:00Z,None,0,0,0,The pilot’s failure to maintain directional control of the airplane while landing with a crosswind.,,38.976262,-76.329082,BELLANCA,17-30,AIR,W29,BAY BRIDGE,FALSE,1,,PERS,091,Substantial,VMC,,Completed,FALSE,https://data.ntsb.gov/Docket?ProjectID=193777,6/21/2024 17:00,W29,2024-02-07 13:05:00+00:00,35,23.4,62.27,30,5,,10,30.34,0,M,KW29 071305Z AUTO 03005KT 10SM CLR 02/M05 A3034 RMK AO2 T00171048,W29,KW29,2024-02-07 13:00:00+00:00,PRIMARY,0,0 days 00:05:00
ERA24LA087,ACC,193639,2024-01-10 09:15:00+00:00,Hohenwald,Tennessee,United States,,N7UT,FALSE,DirectorBrief,2025-03-19T04:00:00Z,None,0,0,0,"The pilot’s failure to use carburetor heat in conditions conducive to the formation of carburetor ice, which resulted in a partial loss of engine power due to fuel starvation. Contributing to the outcome was her failure to attain a proper touchdown point during the subsequent diversionary landing, which resulted in a runway excursion.",,35,-87,CESSNA,150,AIR,0M3,PAUL BRIDGES FLD,FALSE,1,,INST,091,Substantial,VMC,VOLUNTEER AVIATION FOUNDATION INC,Completed,FALSE,https://data.ntsb.gov/Docket?ProjectID=193639,3/19/2025 18:00,DCU,2024-01-10 08:53:00+00:00,39,28,64.37,260,12,19,10,29.79,0,M,KDCU 100853Z AUTO 26012G19KT 10SM OVC032 04/M02 A2979 RMK AO2 SLP087 T00391022 51027,0M3,DCU,2024-01-10 09:15:00+00:00,FALLBACK,20.723439102356377,0 days 00:22:00
CEN24LA082,ACC,193612,2024-01-04 13:46:00+00:00,Middleton,Wisconsin,United States,,N3477E,FALSE,DirectorBrief,2026-01-14T05:00:00Z,None,0,0,0,The student pilot’s failure to maintain directional control during the takeoff roll.,,43.114987,-89.533693,CESSNA,172N,AIR,C29,Middleton Municipal Airport,FALSE,1,,INST,091,Substantial,VMC,Morey Airplane CO. Inc.,Completed,FALSE,https://data.ntsb.gov/Docket?ProjectID=193612,1/14/2026 18:00,C29,2024-01-04 13:55:00+00:00,26.6,23,86.07,350,4,,10,30.35,0,M,KC29 041355Z AUTO 35004KT 10SM OVC028 M03/M05 A3035 RMK AO1 T10301050,C29,KC29,2024-01-04 13:46:00+00:00,PRIMARY,0,0 days 00:09:00
ERA24LA064,ACC,193518,2023-12-12 16:44:00+00:00,Sidney,Ohio,United States,,N6643H,FALSE,DirectorBrief,2024-01-25T05:00:00Z,None,0,0,0,"The pilots’ improper landing flare, which resulted in a hard landing, runway excursion, and subsequent impact with a terminal sign and taxi light.",,40.241278,-84.147861,BEECH,A36,AIR,SCA,SIDNEY MUNI,FALSE,1,,PERS,091,Substantial,VMC,,Completed,FALSE,https://data.ntsb.gov/Docket?ProjectID=193518,1/25/2024 18:00,DAY,2023-12-12 16:56:00+00:00,42,28,57.3,220,12,,10,30.33,0,M,KDAY 121656Z 22012KT 10SM FEW250 06/M02 A3033 RMK AO2 SLP280 T00561022,SCA,DAY,2023-12-12 16:44:00+00:00,FALLBACK,20.367877268110817,0 days 00:12:00
WPR24LA045,ACC,193449,2023-11-27 14:05:00+00:00,Cameron Park,California,United States,,N170HT,FALSE,DirectorBrief,2025-02-26T05:00:00Z,Minor,0,0,1,"A failure of the right brake master cylinder piston due to a faulty return spring, which resulted in a seized right main landing gear brake and a runway excursion",,38.684,-120.98752,CESSNA,170B,AIR,O61,CAMERON PARK,FALSE,1,,PERS,091,Substantial,VMC,,Completed,FALSE,https://data.ntsb.gov/Docket?ProjectID=193449,2/26/2025 19:00,SAC,2023-11-27 13:53:00+00:00,32,29,88.53,320,3,,10,30.14,0,M,KSAC 271353Z AUTO 32003KT 10SM CLR 00/M02 A3014 RMK AO2 SLP206 T00001017,O61,SAC,2023-11-27 14:05:00+00:00,FALLBACK,26.132153710385605,0 days 00:12:00
ERA24LA020,ACC,193302,2023-10-20 15:53:00+00:00,Jackson,Tennessee,United States,,N9101J,FALSE,DirectorBrief,2024-02-20T05:00:00Z,None,0,0,0,"The pilot’s failure to maintain directional control during the landing roll in gusting wind conditions, which resulted in a runway excursion.",,35.599881,-88.915612,PIPER,PA-28-180,AIR,MKL,MC KELLAR-SIPES RGNL,FALSE,1,,PERS,091,Substantial,VMC,OLD SCHOOL AIRCRAFT LLC,Completed,FALSE,https://data.ntsb.gov/Docket?ProjectID=193302,2/22/2024 18:00,MKL,2023-10-20 15:53:00+00:00,68,52,56.55,,6,,10,29.83,0,M,KMKL 201553Z VRB06KT 10SM CLR 20/11 A2983 RMK AO2 SLP100 T02000111,MKL,KMKL,2023-10-20 15:53:00+00:00,PRIMARY,0,0 days 00:00:00
ERA24LA012,ACC,193271,2023-10-18 15:11:00+00:00,Atlanta,Georgia,United States,,N93GA,FALSE,DirectorBrief,2024-12-05T05:00:00Z,None,0,0,0,"The pilot’s failure to maintain a proper approach speed, which resulted in a runway overrun. Contributing to the runway overrun were the pilot’s application of full reverse at an airspeed higher than that allowed by the system, which added power and forward thrust, and the application of braking that flat-spotted the main landing gear tires.",,33.867639,-84.30442,BEECH,300,AIR,PDK,DeKalb-Peachtree Airport,FALSE,2,,BUS,091,Substantial,VMC,CSW AVIATION LLC,Completed,FALSE,https://data.ntsb.gov/Docket?ProjectID=193271,12/5/2024 18:00,PDK,2023-10-18 14:53:00+00:00,61,49,64.61,0,0,,10,30.2,0,M,KPDK 181453Z 00000KT 10SM CLR 16/09 A3020 RMK AO2 SLP226 T01610094 51013,PDK,KPDK,2023-10-18 15:11:00+00:00,PRIMARY,0,0 days 00:18:00
CEN23LA373,ACC,192913,2023-08-20 19:29:00+00:00,New Haven,Indiana,United States,,N4150U,FALSE,DirectorBrief,2023-11-09T05:00:00Z,None,0,0,0,"The pilot’s loss of directional control while landing, which resulted in a runway excursion, impact with corn stalks, and subsequent nose over.",,41.113,-84.90356,CESSNA,150D,AIR,26IN,Haven Center,FALSE,1,,PERS,091,Substantial,VMC,,Completed,FALSE,https://data.ntsb.gov/Docket?ProjectID=192913,11/9/2023 18:00,NFW,2023-08-20 19:52:00+00:00,107,61,22.64,110,7,16,10,30,0,M,KNFW 201952Z 11007G16KT 10SM CLR 42/16 A3000 RMK AO2 SLP142 T04170161 TSNO CHINO S VISNO S $,0TX1,NFW,2023-08-20 19:29:00+00:00,FALLBACK,27.30905901847244,0 days 00:23:00
CEN23LA386,ACC,192960,2023-08-20 08:05:00+00:00,Granbury,Texas,United States,,N57AR,FALSE,DirectorBrief,2024-01-10T05:00:00Z,Serious,0,1,0,The pilot’s improper takeoff procedure which resulted in a loss of control during takeoff.,,32.353689,-97.67615,Silverlight,AR-1,HELI,0TX1,PECAN PLANTATION,TRUE,1,,PERS,091,Substantial,VMC,,Completed,FALSE,https://data.ntsb.gov/Docket?ProjectID=192960,1/10/2024 18:00,FWA,2023-08-20 07:54:00+00:00,63,59,86.77,170,3,,10,30.06,0,M,KFWA 200754Z 17003KT 10SM CLR 17/15 A3006 RMK AO2 SLP176 T01720150 $,26IN,FWA,2023-08-20 08:05:00+00:00,FALLBACK,16.09959587258484,0 days 00:11:00
WPR23LA315,ACC,192871,2023-08-10 14:05:00+00:00,Marysville,California,United States,,N20268,FALSE,DirectorBrief,2023-11-30T05:00:00Z,None,0,0,0,"The flight instructor’s failure to monitor the airplane’s speed during a high-speed taxi, resulting in a runway excursion.",,39.0977,-121.5698,CESSNA,172M,AIR,MYV,Yuba County,FALSE,1,,INST,091,Substantial,VMC,,Completed,FALSE,https://data.ntsb.gov/Docket?ProjectID=192871,11/30/2023 18:00,MYV,2023-08-10 13:53:00+00:00,61,55,80.61,0,0,,10,29.89,0,M,KMYV 101353Z AUTO 00000KT 10SM CLR 16/13 A2989 RMK AO2 SLP124 T01610128 $,MYV,KMYV,2023-08-10 14:05:00+00:00,PRIMARY,0,0 days 00:12:00
ERA23LA278,ACC,192484,2023-06-25 12:15:00+00:00,Sanford,North Carolina,United States,,N108YZ,FALSE,DirectorBrief,2023-08-31T04:00:00Z,None,0,0,0,"The pilot’s failure to maintain directional control while landing in a crosswind, which resulted in a nose over.",,35.582439,-79.101338,GOPALAN HARIHARAN,4 Place,AIR,TTA,Raleigh Executive Jetport,TRUE,1,,PERS,091,Substantial,VMC,,Completed,FALSE,,,TTA,2023-06-25 12:05:00+00:00,72,69.8,92.79,0,0,,10,29.93,0,M,KTTA 251205Z AUTO 00000KT 10SM CLR 22/21 A2993 RMK AO2 T02220210,TTA,KTTA,2023-06-25 12:15:00+00:00,PRIMARY,0,0 days 00:10:00
