"NtsbNo","EventType","Mkey","EventDate","City","State","Country","ReportNo","N","HasSafetyRec","ReportType","OriginalPublishDate","HighestInjuryLevel","FatalInjuryCount","SeriousInjuryCount","MinorInjuryCount","ProbableCause","EventID","Latitude","Longitude","Make","Model","AirCraftCategory","AirportID","AirportName","AmateurBuilt","NumberOfEngines","Scheduled","PurposeOfFlight","FAR","AirCraftDamage","WeatherCondition","Operator","ReportStatus","RepGenFlag","DocketUrl","DocketPublishDate",
"ERA24LA111","ACC","193776","2024-02-07T13:26:00Z","Palm Beach Gardens","Florida","United States","","N484AP","FALSE","DirectorBrief","2024-04-12T04:00:00Z","None","0","0","0","The pilot’s failure to maintain directional control of the airplane during the landing roll in a gusting crosswind.","","26.845917","-80.222333","PIPER","PA-32-301T","AIR","F45","NORTH PALM BEACH COUNTY GENERAL AVIATION","FALSE","1","","PERS","091","Substantial","VMC","","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=193776","4/12/2024 5:00:00 PM",
"ERA24LA112","ACC","193777","2024-02-07T13:00:00Z","Stevensville","Maryland","United States","","N39818","FALSE","DirectorBrief","2024-06-21T04:00:00Z","None","0","0","0","The pilot’s failure to maintain directional control of the airplane while landing with a crosswind.","","38.976262","-76.329082","BELLANCA","17-30","AIR","W29","BAY BRIDGE","FALSE","1","","PERS","091","Substantial","VMC","","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=193777","6/21/2024 5:00:00 PM",
"ERA24LA087","ACC","193639","2024-01-10T09:15:00Z","Hohenwald","Tennessee","United States","","N7UT","FALSE","DirectorBrief","2025-03-19T04:00:00Z","None","0","0","0","The pilot’s failure to use carburetor heat in conditions conducive to the formation of carburetor ice, which resulted in a partial loss of engine power due to fuel starvation. Contributing to the outcome was her failure to attain a proper touchdown point during the subsequent diversionary landing, which resulted in a runway excursion.","","35","-87","CESSNA","150","AIR","0M3","PAUL BRIDGES FLD","FALSE","1","","INST","091","Substantial","VMC","VOLUNTEER AVIATION FOUNDATION INC","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=193639","3/19/2025 6:00:00 PM",
"CEN24LA082","ACC","193612","2024-01-04T13:46:00Z","Middleton","Wisconsin","United States","","N3477E","FALSE","DirectorBrief","2026-01-14T05:00:00Z","None","0","0","0","The student pilot’s failure to maintain directional control during the takeoff roll.","","43.114987","-89.533693","CESSNA","172N","AIR","C29","Middleton Municipal Airport","FALSE","1","","INST","091","Substantial","VMC","Morey Airplane CO. Inc.","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=193612","1/14/2026 6:00:00 PM",
"ERA24LA064","ACC","193518","2023-12-12T16:44:00Z","Sidney","Ohio","United States","","N6643H","FALSE","DirectorBrief","2024-01-25T05:00:00Z","None","0","0","0","The pilots’ improper landing flare, which resulted in a hard landing, runway excursion, and subsequent impact with a terminal sign and taxi light.","","40.241278","-84.147861","BEECH","A36","AIR","SCA","SIDNEY MUNI","FALSE","1","","PERS","091","Substantial","VMC","","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=193518","1/25/2024 6:00:00 PM",
"WPR24LA045","ACC","193449","2023-11-27T14:05:00Z","Cameron Park","California","United States","","N170HT","FALSE","DirectorBrief","2025-02-26T05:00:00Z","Minor","0","0","1","A failure of the right brake master cylinder piston due to a faulty return spring, which resulted in a seized right main landing gear brake and a runway excursion","","38.684","-120.98752","CESSNA","170B","AIR","O61","CAMERON PARK","FALSE","1","","PERS","091","Substantial","VMC","","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=193449","2/26/2025 7:00:00 PM",
"ERA24LA020","ACC","193302","2023-10-20T15:53:00Z","Jackson","Tennessee","United States","","N9101J","FALSE","DirectorBrief","2024-02-20T05:00:00Z","None","0","0","0","The pilot’s failure to maintain directional control during the landing roll in gusting wind conditions, which resulted in a runway excursion.","","35.599881","-88.915612","PIPER","PA-28-180","AIR","MKL","MC KELLAR-SIPES RGNL","FALSE","1","","PERS","091","Substantial","VMC","OLD SCHOOL AIRCRAFT LLC","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=193302","2/22/2024 6:00:00 PM",
"ERA24LA012","ACC","193271","2023-10-18T15:11:00Z","Atlanta","Georgia","United States","","N93GA","FALSE","DirectorBrief","2024-12-05T05:00:00Z","None","0","0","0","The pilot’s failure to maintain a proper approach speed, which resulted in a runway overrun. Contributing to the runway overrun were the pilot’s application of full reverse at an airspeed higher than that allowed by the system, which added power and forward thrust, and the application of braking that flat-spotted the main landing gear tires.","","33.867639","-84.30442","BEECH","300","AIR","PDK","DeKalb-Peachtree Airport","FALSE","2","","BUS","091","Substantial","VMC","CSW AVIATION LLC","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=193271","12/5/2024 6:00:00 PM",
"CEN23LA373","ACC","192913","2023-08-20T19:29:00Z","New Haven","Indiana","United States","","N4150U","FALSE","DirectorBrief","2023-11-09T05:00:00Z","None","0","0","0","The pilot’s loss of directional control while landing, which resulted in a runway excursion, impact with corn stalks, and subsequent nose over.","","41.113","-84.90356","CESSNA","150D","AIR","26IN","Haven Center","FALSE","1","","PERS","091","Substantial","VMC","","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=192913","11/9/2023 6:00:00 PM",
"CEN23LA386","ACC","192960","2023-08-20T08:05:00Z","Granbury","Texas","United States","","N57AR","FALSE","DirectorBrief","2024-01-10T05:00:00Z","Serious","0","1","0","The pilot’s improper takeoff procedure which resulted in a loss of control during takeoff.","","32.353689","-97.67615","Silverlight","AR-1","HELI","0TX1","PECAN PLANTATION","TRUE","1","","PERS","091","Substantial","VMC","","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=192960","1/10/2024 6:00:00 PM",
