ntsbno,eventtype,eventdate_ntsb,city,state,country,n,highestinjurylevel,fatalinjurycount,seriousinjurycount,minorinjurycount,probablecause,latitude,longitude,make,model,airportid_ntsb,airportname,amateurbuilt,numberofengines,purposeofflight,far,aircraftdamage,weathercondition,operator,docketurl,valid,tmpf,dwpf,relh,drct,sknt,gust,vsby,alti,p01i,metar,weatherstation,weather_source,distance_nm,time_diff,crosswind_component,tailwind_component
CEN24LA251,ACC,2024-07-04 11:30:00+00:00,Dowagiac,Michigan,United States,N9793A,None,0,0,0,"The pilot and flight instructor’s failure to maintain directional control during the landing roll, which resulted in a ground loop with the left main landing gear axle failing, a runway excursion, and impact with the ground.",41.993703,-86.122817,CESSNA,170,C91,DOWAGIAC MUNI,False,1.0,INST,091,Substantial,VMC,NA,https://data.ntsb.gov/Docket?ProjectID=194629,2024-07-04 10:53:00+00:00,64.0,62.0,93.21,0.0,0.0,20.5,9.0,29.93,0.0,KBEH 041053Z AUTO 00000KT 9SM CLR 18/17 A2993 RMK AO2 SLP130 T01780167,BEH,FALLBACK,15.354793481671749,0 days 00:37:00,0.0,0.0
CEN24LA329,ACC,2024-07-04 10:30:00+00:00,Leadville,Colorado,United States,N1652T,None,0,0,0,"A loss of brake fluid for reasons that could not be determined, which resulted in a loss of braking effectiveness during landing.",39.219472,-106.31641,CESSNA,414,LXV,Lake County,False,2.0,PERS,091,Substantial,VMC,NA,https://data.ntsb.gov/Docket?ProjectID=195014,2024-07-04 10:53:00+00:00,64.0,62.0,93.21,0.0,0.0,20.5,9.0,29.93,0.0,KBEH 041053Z AUTO 00000KT 9SM CLR 18/17 A2993 RMK AO2 SLP130 T01780167,BEH,FALLBACK,15.354793481671749,0 days 00:23:00,0.0,0.0
CEN24LA234,ACC,2024-06-13 20:15:00+00:00,Ava,Missouri,United States,N123WJ,Minor,0,0,1,The pilot’s failure to maintain control of the airplane resulting in a runway excursion during landing.  Contributing to the accident was the degraded brake system on the airplane.,36.971887,-92.681946,MOONEY,M20J,AOV,Ava Bill Martin Memorial,False,1.0,PERS,091,Substantial,VMC,NA,https://data.ntsb.gov/Docket?ProjectID=194521,2024-06-13 19:53:00+00:00,88.0,64.0,44.95,240.0,5.0,20.5,10.0,29.97,0.0,KBPK 131953Z AUTO 24005KT 10SM CLR 31/18 A2997 RMK AO2 SLP138 T03110178,BPK,FALLBACK,37.49360820914125,0 days 00:22:00,-4.330127018922193,-2.500000000000002
ERA24LA268,ACC,2024-06-12 23:00:00+00:00,Painted Post,New York,United States,N5309G,None,0,0,0,"The pilot’s failure to maintain directional control of the airplane during an aborted landing, which resulted in runway excursion and collision with a ditch.",42.179597,-77.121074,CESSNA,305,7N1,Corning-Painted Post Airport,False,1.0,PERS,091,Substantial,VMC,NA,https://data.ntsb.gov/Docket?ProjectID=194506,2024-06-12 22:53:00+00:00,75.0,54.0,47.99,20.0,8.0,20.5,10.0,29.98,0.0,KELM 122253Z 02008KT 10SM FEW070 24/12 A2998 RMK AO2 SLP147 T02390122,ELM,FALLBACK,9.806312731793968,0 days 00:07:00,2.7361611466053497,7.517540966287267
ERA24LA212,ACC,2024-05-02 19:30:00+00:00,Georgetown,Ohio,United States,N8290C,Minor,0,0,1,"An inadvertent encounter with the rotor wash of a nearby hovering helicopter during landing, which resulted in a loss of control and a runway excursion.",38.882,-83.882667,PIPER,PA-20-135,GEO,BROWN COUNTY,False,1.0,PERS,091,Substantial,VMC,NA,https://data.ntsb.gov/Docket?ProjectID=194226,2024-05-02 19:53:00+00:00,86.0,62.0,44.65,200.0,12.0,20.5,10.0,29.92,0.0,KLUK 021953Z 20012KT 10SM CLR 30/17 A2992 RMK AO2 SLP128 T03000167,LUK,FALLBACK,28.29260805208599,0 days 00:23:00,-4.104241719908024,-11.276311449430901
ERA24LA145,ACC,2024-03-15 16:05:00+00:00,Melbourne,Florida,United States,N838ER,None,0,0,0,The student pilot’s failure to maintain directional control while landing in a crosswind.,28.09788,-80.63526,TEXTRON AVIATION INC,172S,MLB,Melbourne Orlando International,False,1.0,INST,091,Substantial,VMC,EMBRY-RIDDLE AERONAUTICAL UNIVERSITY INC,https://data.ntsb.gov/Docket?ProjectID=193960,2024-03-15 15:53:00+00:00,79.0,68.0,69.07,110.0,8.0,20.5,10.0,30.1,0.0,KMLB 151553Z 11008KT 10SM CLR 26/20 A3010 RMK AO2 SLP191 T02610200,KMLB,PRIMARY,0.0,0 days 00:12:00,7.517540966287267,-2.7361611466053497
CEN24LA122,ACC,2024-02-23 16:45:00+00:00,Tulsa,Oklahoma,United States,N3645W,None,0,0,0,The pilot's inadvertent retraction of the flaps while landing which resulted in a hard landing and loss of directional control.,36.038877,-95.984215,PIPER,PA32,RVS,TULSA RIVERSIDE,False,1.0,PERS,091,Substantial,VMC,NA,https://data.ntsb.gov/Docket?ProjectID=193837,2024-02-23 16:53:00+00:00,60.0,32.0,34.61,130.0,3.0,20.5,10.0,30.08,0.0,KRVS 231653Z VRB03KT 10SM CLR 16/00 A3008 RMK AO2 SLP194 T01560000,KRVS,PRIMARY,0.0,0 days 00:08:00,2.298133329356934,-1.9283628290596182
DCA24LA095,INC,2024-02-10 20:42:00+00:00,Dallas,Texas,United States,N991AN,None,0,0,0,Improper maintenance due to human error during a braking system modification diminished braking performance.  Contributing to the diminished braking performance was the lack of a functional check to verify the flexible hydraulic hoses and transducer wiring were connected correctly after the braking system modification.,32.89748,-97.040443,BOEING,737-823,DFW,Dallas Fort Worth International Airport,False,2.0,UNKNOWN,121,Minor,VMC,AMERICAN AIRLINES INC,https://data.ntsb.gov/Docket?ProjectID=193772,2024-02-10 20:53:00+00:00,56.0,52.0,86.4,100.0,6.0,20.5,10.0,29.81,0.0,KDFW 102053Z 10006KT 10SM -RA FEW012 SCT034 BKN049 BKN130 OVC250 13/11 A2981 RMK AO2 RAB38 SLP090 P0000 60001 T01330111 56022,KDFW,PRIMARY,0.0,0 days 00:11:00,5.908846518073248,-1.0418890660015818
WPR24LA087,ACC,2024-02-10 13:45:00+00:00,Burley,Idaho,United States,C-FLQQ,Minor,0,0,1,"The failure of the pilot to fly a stabilized approach during an emergency landing with a tailwind, which resulted in a bounced landing and subsequent runway excursion during the landing roll. Contributing to the accident was the pilot’s inadequate preflight inspection of the airplane, which resulted in its operation with an inadequate quantity of oil, insufficient engine oil pressure, and a subsequent emergency landing.",42.0,-113.0,MOONEY,M20K,BYI,Burley Municipal AIrport,False,1.0,PERS,091,Substantial,VMC,NA,https://data.ntsb.gov/Docket?ProjectID=193782,2024-02-10 13:43:00+00:00,28.0,25.0,88.33,270.0,6.0,20.5,10.0,30.09,0.0,KBYI 101343Z AUTO 27006KT 10SM FEW010 OVC014 M02/M04 A3009 RMK AO2 T10221039,KBYI,PRIMARY,0.0,0 days 00:02:00,-6.0,-1.102182119232618e-15
ERA24LA111,ACC,2024-02-07 13:26:00+00:00,Palm Beach Gardens,Florida,United States,N484AP,None,0,0,0,The pilot’s failure to maintain directional control of the airplane during the landing roll in a gusting crosswind.,26.845917,-80.222333,PIPER,PA-32-301T,F45,NORTH PALM BEACH COUNTY GENERAL AVIATION,False,1.0,PERS,091,Substantial,VMC,NA,https://data.ntsb.gov/Docket?ProjectID=193776,2024-02-07 13:25:00+00:00,36.5,24.0,60.16,40.0,3.0,20.5,10.0,30.34,0.0,KW29 071325Z AUTO 04003KT 10SM CLR 03/M05 A3034 RMK AO2 T00251045,KW29,PRIMARY,0.0,0 days 00:01:00,1.9283628290596178,2.298133329356934
ERA24LA112,ACC,2024-02-07 13:00:00+00:00,Stevensville,Maryland,United States,N39818,None,0,0,0,The pilot’s failure to maintain directional control of the airplane while landing with a crosswind.,38.976262,-76.329082,BELLANCA,17-30,W29,BAY BRIDGE,False,1.0,PERS,091,Substantial,VMC,NA,https://data.ntsb.gov/Docket?ProjectID=193777,2024-02-07 13:05:00+00:00,35.0,23.4,62.27,30.0,5.0,20.5,10.0,30.34,0.0,KW29 071305Z AUTO 03005KT 10SM CLR 02/M05 A3034 RMK AO2 T00171048,KW29,PRIMARY,0.0,0 days 00:05:00,2.4999999999999996,4.330127018922194
ERA24LA087,ACC,2024-01-10 09:15:00+00:00,Hohenwald,Tennessee,United States,N7UT,None,0,0,0,"The pilot’s failure to use carburetor heat in conditions conducive to the formation of carburetor ice, which resulted in a partial loss of engine power due to fuel starvation. Contributing to the outcome was her failure to attain a proper touchdown point during the subsequent diversionary landing, which resulted in a runway excursion.",35.0,-87.0,CESSNA,150,0M3,PAUL BRIDGES FLD,False,1.0,INST,091,Substantial,VMC,VOLUNTEER AVIATION FOUNDATION INC,https://data.ntsb.gov/Docket?ProjectID=193639,2024-01-10 08:53:00+00:00,39.0,28.0,64.37,260.0,12.0,19.0,10.0,29.79,0.0,KDCU 100853Z AUTO 26012G19KT 10SM OVC032 04/M02 A2979 RMK AO2 SLP087 T00391022 51027,DCU,FALLBACK,20.723439102356377,0 days 00:22:00,-11.817693036146496,-2.083778132003164
CEN24LA082,ACC,2024-01-04 13:46:00+00:00,Middleton,Wisconsin,United States,N3477E,None,0,0,0,The student pilot’s failure to maintain directional control during the takeoff roll.,43.114987,-89.533693,CESSNA,172N,C29,Middleton Municipal Airport,False,1.0,INST,091,Substantial,VMC,Morey Airplane CO. Inc.,https://data.ntsb.gov/Docket?ProjectID=193612,2024-01-04 13:55:00+00:00,26.6,23.0,86.07,350.0,4.0,20.5,10.0,30.35,0.0,KC29 041355Z AUTO 35004KT 10SM OVC028 M03/M05 A3035 RMK AO1 T10301050,KC29,PRIMARY,0.0,0 days 00:09:00,-0.6945927106677215,3.939231012048832
